id,url,source,published,pre-label,header
ct24_f601d41e,https://ct24.ceskatelevize.cz/clanek/ekonomika/cnb-snizila-zakladni-urokovou-sazbu-o-ctvrt-procentniho-bodu-357845,CT24,2025-02-06,N,ČNB snížila základní úrokovou sazbu o čtvrt procentního bodu
ct24_7bb67161,https://ct24.ceskatelevize.cz/clanek/regiony/skoda-predstavila-prvni-tramvaj-52t-pro-prahu-357487,CT24,2025-01-27,N,Škoda představila první tramvaj 52T pro Prahu
ct24_63c4fe60,https://ct24.ceskatelevize.cz/clanek/svet/sedmy-zkusebni-let-lodi-starship-skoncil-neuspechem-357183,CT24,2025-01-17,N,Sedmý zkušební let lodi Starship skončil neúspěchem
irozhlas_8e2fcfdd,https://www.irozhlas.cz/zpravy-domov/ruseni-nocniho-klidu-potycky-a-domaci-nasili-policiste-eviduji-behem-silvestra_2501010948_pik,iRozhlas,2025-01-01,N,"Rušení nočního klidu, potyčky a domácí násilí. Policisté evidují během Silvestra tři tisíce zásahů"
irozhlas_a355e24d,https://www.irozhlas.cz/zpravy-domov/na-kladensku-se-srazily-dva-autobusy-cestovalo-v-nich-pres-40-lidi-tri-zranene_2501072128_epo,iRozhlas,2025-01-07,N,"Na Kladensku se srazily dva autobusy. Cestovalo v nich přes 40 lidí, tři zraněné převezli do nemocnice"
irozhlas_a5a45747,https://www.irozhlas.cz/sport/ostatni-sporty/neskutecna-divocina-plna-zajimavych-veci-michek-je-po-dakarovem-prologu-dvanacty_2501031448_job,iRozhlas,2025-01-03,N,"‚Neskutečná divočina plná zajímavých věcí.’ Michek je po dakarovém prologu dvanáctý, Macík dojel třetí"
irozhlas_b6678b24,https://www.irozhlas.cz/zpravy-svet/pocet-obeti-po-padu-strechy-nocniho-klubu-v-santu-domingu-stoupl-na-184-dalsich_2504100725_jar,iRozhlas,2025-04-10,N,Počet obětí po pádu střechy nočního klubu v Santu Domingu stoupl na 218. Dalších 500 lidí je zraněných
irozhlas_9f15b179,https://www.irozhlas.cz/zpravy-domov/diky-temto-akcim-si-pripominame-dulezitost-miru-a-svobody-cesko-slavi-vyroci_2505080914_job,iRozhlas,2025-05-08,N,‚Díky těmto akcím si připomínáme důležitost míru a svobody.‘ Česko slaví výročí konce druhé světové války
irozhlas_aa814e91,https://www.irozhlas.cz/sport/ostatni-sporty/tereza-bodnarova-judo-mistrovstvi-sveta_2506141650_krn,iRozhlas,2025-06-14,N,Judistka Bodnárová jen těsně nestačila na úřadující mistryni světa. Teď sní o olympiádě v Los Angeles
irozhlas_2566faf4,https://www.irozhlas.cz/sport/tenis/v-petactyriceti-dalsi-vyhra-williamsova-se-po-vice-nez-rocni-pauze-vratila-k_2507220744_fso,iRozhlas,2025-07-22,N,V pětačtyřiceti další výhra. Williamsová se po více než roční pauze vrátila k tenisu vítězstvím v deblu
irozhlas_431852a3,https://www.irozhlas.cz/veda-technologie/technologie/jak-se-ridi-vozidlo-bez-oken-i-periskopu-vedci-z-brna-vyvinuli-system-na_2509012350_jho,iRozhlas,2025-09-01,N,Jak se řídí vozidlo bez oken i periskopu? Vědci z Brna vyvinuli systém na principu rozšířené reality
irozhlas_5238d918,https://www.irozhlas.cz/zpravy-domov/obec-huntirov-zkousi-novy-usekovy-radar-prestupky-prejdou-pod-agendu-mesta_2509151536_jho,iRozhlas,2025-09-15,N,Obec Huntířov zkouší nový úsekový radar. Přestupky přejdou pod agendu města Děčína
irozhlas_be3e2173,https://www.irozhlas.cz/zpravy-domov/policie-navrhla-obzalovat-mladistveho-z-vrazdy-dvou-zen-v-hradci-kralove-hrozi_2509180952_kma,iRozhlas,2025-09-18,N,Policie navrhla obžalovat mladistvého z vraždy dvou žen v Hradci Králové. Hrozí mu deset let za mřížemi
irozhlas_4d2faa3b,https://www.irozhlas.cz/sport/hokej/hokej-vozenilek-zraneni-zlomenina-nohy_2510022158_lbk,iRozhlas,2025-10-02,N,Voženílek bude šest až osm týdnů bez hokeje. Útočník Zugu má po zásahu pukem zlomenou kost v noze
irozhlas_1a21ea73,https://www.irozhlas.cz/zpravy-domov/soud-poslal-do-vazby-pacienta-bohnicke-lecebny-ve-stredu-z-ni-opet-utekl_2510231714_dci,iRozhlas,2025-10-23,N,Soud poslal do vazby pacienta bohnické léčebny. Ve středu z ní opět utekl
irozhlas_283828f1,https://www.irozhlas.cz/zpravy-domov/letecka-sluzba-policie-letos-slavi-90-let-nonstop-slouzi-v-praze-a-brne-rozsirit_2510262118_mst,iRozhlas,2025-10-26,N,"Letecká služba policie letos slaví 90 let. Nonstop slouží v Praze a Brně, rozšířit se má i do Ostravy"
irozhlas_2cdf1900,https://www.irozhlas.cz/zpravy-domov/tomio-okamura-byl-ano-spd-a-motoristy-nominovan-do-cela-snemovny-program-koalice_2510291414_cen,iRozhlas,2025-10-29,N,"Tomio Okamura byl ANO, SPD a Motoristy nominován do čela Sněmovny. Program koalice je hotový"
irozhlas_e2d7e22c,https://www.irozhlas.cz/zivotni-styl/spolecnost/vysoke-pece-v-ostrave-obsadili-archeologove-vykopy-tu-mozna-uvidi-jeste_2510300600_jkd,iRozhlas,2025-10-30,N,"Vysoké pece v Ostravě obsadili archeologové. ‚Výkopy tu možná uvidí ještě návštěvníci festivalů,‘ nevylučují"
irozhlas_8b6f6a8c,https://www.irozhlas.cz/veda-technologie/umelou-inteligenci-na-cvut-vyuzijeme-ke-zjednoduseni-vyuky-i-administrativy-rika_2510302005_epo,iRozhlas,2025-10-30,N,"Umělou inteligenci na ČVUT využijeme ke zjednodušení výuky i administrativy, říká nový rektor"
irozhlas_94b8f510,https://www.irozhlas.cz/veda-technologie/historie/jak-vznikala-daytonska-dohoda-uvnitr-zakladny-kde-se-psaly-dejiny-bosny_2511211625_elev,iRozhlas,2025-11-21,N,"Jak vznikala daytonská dohoda: uvnitř základny, kde se psaly dějiny Bosny"
irozhlas_440951ab,https://www.irozhlas.cz/kultura/divadlo/vlastnici-se-predstavi-na-domacich-prknech-uvede-je-horacke-divadlo-jihlava_2512130855_dci,iRozhlas,2025-12-13,N,Vlastníci se představí v činoherní podobě. Uvede je Horácké divadlo Jihlava
irozhlas_6d189923,https://www.irozhlas.cz/ekonomika/pri-navraceni-nechtenych-darku-plati-omezeni-zalezi-napriklad-kde-byl-koupen_2512291631_vsn,iRozhlas,2025-12-29,N,"Při navrácení nechtěných dárků platí omezení. Záleží například, kde byl koupen"
irozhlas_4b6b3655,https://www.irozhlas.cz/kultura/do-kulturniho-domu-slavie-zavitali-prvni-navstevnici-prestavba-ceskym_2512300710_jho,iRozhlas,2025-12-30,N,Do Kulturního domu Slavie zavítali první návštěvníci. Přestavba Českým Budějovicím trvala dva a půl roku
irozhlas_e80ce36c,https://www.irozhlas.cz/zpravy-svet/cinske-manevry-u-tchaj-wanu-pokracuji-vojenske-lode-ale-uz-podle-pobrezni-straze_2512310818_ako,iRozhlas,2025-12-31,N,Čínské manévry u Tchaj-wanu pokračují. Vojenské lodě ale už podle pobřežní stráže odplouvají
irozhlas_700a49c0,https://www.irozhlas.cz/zpravy-domov/na-prohlidky-prazskeho-hradu-prislo-v-roce-2025-rekordnich-27-milionu-lidi_2601072231_cen,iRozhlas,2026-01-07,N,"Na prohlídky Pražského hradu přišlo v roce 2025 rekordních 2,7 milionu lidí"
irozhlas_b52e6c18,https://www.irozhlas.cz/zpravy-domov/chtela-jsem-vedet-jak-funguji-ostatni-sporty-na-svetaku-ve-spindlu-pomaha-celkem_2601251155_vsn,iRozhlas,2026-01-25,N,"‚Chtěla jsem vědět, jak fungují ostatní sporty.‘ Na ‚svěťáku‘ ve Špindlu pomáhá celkem 220 nadšenců"
irozhlas_f8ed6721,https://www.irozhlas.cz/zpravy-domov/60-milionu-za-volnocasovy-areal-da-frydek-mistek-zabavi-deti-i-dospele-hotovy_2602132028_vaa,iRozhlas,2026-02-13,N,"60 milionů za volnočasový areál dá Frýdek-Místek. Zabaví děti i dospělé, hotový bude v květnu"
irozhlas_7e3789f8,https://www.irozhlas.cz/zpravy-domov/zachranari-nasli-v-dalesicke-prehrade-telo-policejniho-potapece-ztratil-se-pri_2602241417_mst,iRozhlas,2026-02-24,N,Záchranáři našli v Dalešické přehradě tělo policejního potápěče. Ztratil se při výcviku v pondělí
irozhlas_5f7bc5f3,https://www.irozhlas.cz/zpravy-domov/zodpovedne-rozhodnuti-reditelka-skoly-v-humpolci-rezignovala-drive-odeslo-19_2603021007_vsn,iRozhlas,2026-03-02,N,"‚Zodpovědné rozhodnutí.‘ Ředitelka školy v Humpolci rezignovala, dříve odešlo 19 učitelů"
irozhlas_25c7488a,https://www.irozhlas.cz/zpravy-domov/pozemky-pro-zrizeni-rezervace-pro-zubry-v-doupovskych-horach-ma-sanci-ziskat_2603070535_mkm,iRozhlas,2026-03-07,N,Pozemky pro zřízení rezervace pro zubry v Doupovských horách má šanci získat Česká krajina
irozhlas_87e473b7,https://www.irozhlas.cz/zpravy-domov/obcanky-bez-omezeni-konci-v-srpnu-nejstarsi-obcanske-prukazy-vlastni-az-10-tisic_2603261253_aha,iRozhlas,2026-03-26,N,Občanky ‚bez omezení‘ končí v srpnu. Nejstarší občanské průkazy vlastní až deset tisíc lidí
irozhlas_21c49139,https://www.irozhlas.cz/zpravy-domov/plan-obchvatu-havlickova-brodu-prosel-zastupitelstvem-ocekavaji-se-spory-s_2604150505_dci,iRozhlas,2026-04-15,N,Plán obchvatu Havlíčkova Brodu prošel přes zastupitele. Očekávají se spory s blízkými obcemi
irozhlas_772792bb,https://www.irozhlas.cz/zivotni-styl/spolecnost/osmnactilety-jonas-zbehl-od-stavebnich-vykresu-k-remeslu-uci-se-na-montera_2604161905_jkd,iRozhlas,2026-04-16,N,Osmnáctiletý Jonáš zběhl od stavebních výkresů k řemeslu. Učí se na montéra suchých staveb
seznam_6c6982f5,https://www.seznamzpravy.cz/clanek/magazin-architektura-vyroci-vily-tugendhat-i-jejiho-autora-pripomente-si-cim-dum-ohromuje-svet-304218,SeznamZpravy,2026-04-19,N,"Výročí vily Tugendhat i jejího autora. Připomeňte si, čim dům ohromuje svět"
seznam_a9bad9ab,https://www.seznamzpravy.cz/clanek/kultura-zemrel-boris-jirku-297343,SeznamZpravy,2026-01-26,N,Ilustroval Sto roků samoty nebo Mistra a Markétku. Zemřel Boris Jirků
seznam_175e20f7,https://www.seznamzpravy.cz/clanek/zahranicni-donald-trump-zvazuje-vyslani-zastupcu-na-evropske-jednani-o-ukrajine-293947,SeznamZpravy,2025-12-12,N,Donald Trump zvažuje vyslání zástupců na evropské jednání o Ukrajině
seznam_7a9e3969,https://www.seznamzpravy.cz/clanek/magazin-vanoce-darky-tipy-knihy-deti-292271,SeznamZpravy,2025-11-26,N,"Vánoční tipy na dětské knihy: Alice Oseman nezklame, číst můžou i o undergroundu"
seznam_d4a8262a,https://www.seznamzpravy.cz/clanek/zahranicni-zastupci-usa-a-ciny-se-shodli-na-ramci-obchodni-dohody-290143,SeznamZpravy,2025-10-26,N,Zástupci USA a Číny se shodli na rámci obchodní dohody
seznam_316b10cf,https://www.seznamzpravy.cz/clanek/sport-sparta-v-dohravanem-utkani-podlehla-rijece-0-1-290062,SeznamZpravy,2025-10-24,N,Sparta v dohrávaném utkání podlehla Rijece 0:1
seznam_d082117a,https://www.seznamzpravy.cz/clanek/domaci-politika-vlada-jmenovala-reditelem-digitalni-agentury-zastupce-reditele-petra-kuchare-289858,SeznamZpravy,2025-10-22,N,Vláda jmenovala ředitelem digitální agentury zástupce ředitele Petra Kuchaře
seznam_c8879829,https://www.seznamzpravy.cz/clanek/zahranicni-lano-ktere-zpusobilo-tragedii-lanovky-v-lisabonu-nesplnovalo-normu-289709,SeznamZpravy,2025-10-20,N,"Lano, které způsobilo tragédii lanovky v Lisabonu, nesplňovalo normu"
seznam_b1101688,https://www.seznamzpravy.cz/clanek/zahranicni-apple-vyzval-eu-ke-zruseni-zakona-o-digitalnich-sluzbach-286960,SeznamZpravy,2025-09-25,N,Apple vyzval EU ke zrušení zákona o digitálních trzích
seznam_a9cec84c,https://www.seznamzpravy.cz/clanek/zahranicni-biden-podstoupil-operaci-odstranili-mu-rakovinne-bunky-z-kuze-285402,SeznamZpravy,2025-09-05,N,"Bidena operovali, odstranili mu rakovinné buňky z kůže"
seznam_5100ae1e,https://www.seznamzpravy.cz/clanek/zahranicni-privalove-povodne-v-pakistanu-si-vyzadaly-nejmene-49-obeti-uvadeji-urady-283895,SeznamZpravy,2025-08-15,N,Přívalové povodně v Pákistánu a Indii si vyžádaly přes 200 obětí
seznam_8b1b47de,https://www.seznamzpravy.cz/clanek/magazin-architektura-slavne-vily-praha-bubenec-281369,SeznamZpravy,2025-07-26,N,První luxusní vilová čtvrť v zemi. Takhle před 130 lety bydlela elita
seznam_7cc61edc,https://www.seznamzpravy.cz/clanek/zahranicni-ve-vietnamu-se-potopila-turisticka-lod-nejmene-tri-lide-zemreli-282217,SeznamZpravy,2025-07-19,N,"Ve Vietnamu se potopila turistická loď, nejméně 34 lidí zemřelo"
seznam_5bf46414,https://www.seznamzpravy.cz/clanek/ekonomika-finance-rozpocet-mel-v-pololeti-schodek-pres-152-miliard-nejnizsi-od-pandemie-280652,SeznamZpravy,2025-07-01,N,Rozpočet měl v pololetí schodek přes 152 miliard. Nejnižší od pandemie
seznam_453c7c30,https://www.seznamzpravy.cz/clanek/domaci-zivot-v-cesku-policie-obvinila-sedm-lidi-pro-ovlivnovani-dopravnich-prestupku-280277,SeznamZpravy,2025-06-25,N,Policie obvinila sedm lidí pro ovlivňování dopravních přestupků
seznam_3fb61b32,https://www.seznamzpravy.cz/clanek/domaci-politika-novotny-rezignoval-na-post-starosty-prazskych-reporyji-279323,SeznamZpravy,2025-06-16,N,Novotný rezignoval na post starosty pražských Řeporyjí
seznam_8dfac490,https://www.seznamzpravy.cz/clanek/domaci-politika-blazek-podal-demisi-niceho-nezakonneho-si-ale-vedom-nejsem-uvedl-277973,SeznamZpravy,2025-05-30,N,"Blažek rezignuje na post ministra. Nečekal jsem to, řekl Skopeček"
seznam_23bac966,https://www.seznamzpravy.cz/clanek/zahranicni-hamas-souhlasil-s-primerim-ktere-navrhli-americane-propusti-deset-rukojmich-277581,SeznamZpravy,2025-05-26,N,"Hamás uvedl, že souhlasí s návrhem USA na příměří, Izrael to zpochybnil"
seznam_699b6774,https://www.seznamzpravy.cz/clanek/domaci-zivot-v-cesku-veterinari-dostanou-na-odmenach-skoro-7-milionu-i-za-nasazeni-pri-slintavce-276411,SeznamZpravy,2025-05-12,N,"Veterináři dostanou na odměnách skoro sedm milionů, i za nasazení při slintavce"
seznam_727dfa6b,https://www.seznamzpravy.cz/clanek/zahranicni-v-nemecku-se-dohodli-na-vlade-273846,SeznamZpravy,2025-04-09,N,V Německu se dohodli na vládě. Zemi povede CDU/CSU se sociální demokracií
novinky_5d92f1d1,https://www.novinky.cz/clanek/zahranicni-evropa-odstupte-do-konce-kvetna-z-funkci-vyzval-magyar-prezidenta-a-predni-soudce-40574446,Novinky,2026-04-20,N,"Odstupte z funkcí, nebo vás odvoláme, vyzval Magyar prezidenta a přední soudce"
novinky_3a95f3b9,https://www.novinky.cz/clanek/krimi-taxikar-vozil-pasazery-po-jablonci-i-presto-ze-mel-zakaz-rizeni-40573715,Novinky,2026-04-16,N,"Taxikář vozil pasažéry po Jablonci i přesto, že měl zákaz řízení"
novinky_93334548,https://www.novinky.cz/clanek/krimi-pripad-ctyr-mrtvych-vlku-na-jesenicku-policie-odlozila-40566153,Novinky,2026-03-06,N,Případ čtyř mrtvých vlků na Jesenicku policie odložila
novinky_a2d921e9,https://www.novinky.cz/clanek/domaci-ve-skolach-by-se-melo-uplatnovat-slovni-hodnoceni-v-kombinaci-se-znamkami-rekl-plaga-40560185,Novinky,2026-01-29,N,"Ve školách by se mělo uplatňovat slovní hodnocení v kombinaci se známkami, řekl Plaga"
novinky_d07423d4,https://www.novinky.cz/clanek/koktejl-nejstarsi-snehova-koule-slavi-50-let-american-ji-skladuje-v-mrazaku-40559705,Novinky,2026-01-29,N,Nejstarší sněhová koule slaví 50 let. Američan ji skladuje v mrazáku
novinky_610ed958,https://www.novinky.cz/clanek/krimi-metro-b-stoji-kvuli-vypadku-proudu-40555816,Novinky,2026-01-03,N,Metro B stálo kvůli výpadku proudu
novinky_8dce9d6d,https://www.novinky.cz/clanek/krimi-devatenactileteho-ridice-museli-vyprostovat-po-smyku-se-srazil-s-autobusem-u-berouna-40552003,Novinky,2025-12-04,N,Devatenáctiletého řidiče museli vyprošťovat. Po smyku se srazil s autobusem u Berouna
novinky_81c05e35,https://www.novinky.cz/clanek/internet-a-pc-hry-a-herni-systemy-gta-6-se-odklada-uz-ponekolikate-40547740,Novinky,2025-11-07,N,GTA 6 se odkládá. Už poněkolikáté
novinky_5858ca81,https://www.novinky.cz/clanek/domaci-konecna-oznamila-ze-se-leci-s-vaznou-nemoci-40545024,Novinky,2025-10-21,N,"Konečná oznámila, že se léčí s roztroušenou sklerózou"
novinky_fd75160f,https://www.novinky.cz/clanek/krimi-mohutny-pozar-znicil-autodilnu-v-klimkovicich-zranil-se-hasic-40540763,Novinky,2025-09-26,N,"Mohutný požár zničil autodílnu v Klimkovicích, zranil se hasič"
novinky_0bb95ac2,https://www.novinky.cz/clanek/auto-cupra-se-odvazala-koncept-tindaya-ma-neprehlednutelny-design-40537872,Novinky,2025-09-09,N,"Cupra se odvázala, koncept Tindaya má nepřehlédnutelný design"
novinky_ebd06af4,https://www.novinky.cz/clanek/kultura-taylor-swift-oznamila-zasnoubeni-40535868,Novinky,2025-08-26,N,Taylor Swift oznámila zasnoubení
novinky_55fd5df6,https://www.novinky.cz/clanek/koktejl-rumunsky-ucitel-bojuje-proti-diskriminaci-romu-pisnemi-elvise-presleyho-40533748,Novinky,2025-08-11,N,Rumunský učitel bojuje proti diskriminaci Romů písněmi Elvise Presleyho
novinky_1852d149,https://www.novinky.cz/clanek/krimi-na-litomericku-zahynul-v-prevracenem-aute-ridic-objevil-ho-kolemjdouci-40526461,Novinky,2025-06-18,N,"Na Litoměřicku zahynul v převráceném autě řidič, objevil ho kolemjdoucí"
novinky_4cc3a206,https://www.novinky.cz/clanek/kultura-knihy-spisovatelka-sam-holland-chtela-jsem-psat-neco-temneho-40522261,Novinky,2025-05-30,N,Spisovatelka Sam Holland: Chtěla jsem psát něco temného
novinky_b8e9dcec,https://www.novinky.cz/clanek/zahranicni-rusko-zadrzelo-recky-tanker-ktery-miril-z-estonska-do-nizozemska-40521678,Novinky,2025-05-18,N,Rusko zadrželo řecký tanker plující z Estonska do Nizozemska
novinky_2975af7d,https://www.novinky.cz/clanek/domaci-prezident-pavel-poblahopral-novemu-papezi-40520492,Novinky,2025-05-09,N,Prezident Pavel poblahopřál novému papeži
novinky_5654ec8b,https://www.novinky.cz/clanek/krimi-paraglidista-se-na-taborsku-zranil-hned-pri-startu-40518110,Novinky,2025-04-21,N,Paraglidista se na Táborsku zranil hned při startu
novinky_f378db8e,https://www.novinky.cz/clanek/zahranicni-svet-strelba-na-kohoutich-zapasech-v-ekvadoru-zemrelo-11-lidi-40517992,Novinky,2025-04-18,N,"Střelba na kohoutích zápasech v Ekvádoru, zemřelo 11 lidí"
novinky_07ea0543,https://www.novinky.cz/clanek/kultura-hudba-prazske-jaro-nabidne-svetove-premiery-40513643,Novinky,2025-03-27,N,Pražské jaro nabídne světové premiéry
cnnprima_d65cc30f,https://cnn.iprima.cz/opily-ridic-na-kralovehradecku-zbesile-ujizdel-policii-ukazuji-zabery-nepomohla-ani-strelba-510016,CNNPrima,2026-04-21,N,"Zběsilá honička u Hradce: Opilec se nelekl ani střelby, ujížděl policii přes zorané pole"
cnnprima_ddd1ba85,https://cnn.iprima.cz/baraz-o-ms-cesko-irsko-507876,CNNPrima,2026-03-26,N,"Sen o MS žije! České fotbalisty v baráži vzkřísil Krejčí, hrdina Kovář zachránil penalty"
cnnprima_59878c35,https://cnn.iprima.cz/zemrela-marie-voriskova-507189,CNNPrima,2026-03-19,N,"Zemřela významná dětská kardioložka Voříšková. Vybudovala unikátní systém, smutní Motol"
cnnprima_719c4b04,https://cnn.iprima.cz/srazka-cisterny-s-dodavkou-na-plzensku-d5-je-smerem-do-prahy-neprujezdna-501776,CNNPrima,2026-01-18,N,Vážná nehoda na Plzeňsku: Srážka cisterny s dodávkou si vyžádala zraněné. Provoz na D5 stojí
cnnprima_978159b9,https://cnn.iprima.cz/zacina-dvoudenni-vyluka-prazskeho-metra-501687,CNNPrima,2026-01-17,N,Dva dny nepojede na vytíženém úseku na trase B metro. Finišují práce na stanici u O2 arény
cnnprima_98a2e577,https://cnn.iprima.cz/hasici-zachranovali-osobu-ktera-v-tremosne-spadla-na-strechu-pouzili-vyskovou-techniku-501571,CNNPrima,2026-01-16,N,"Drama v Třemošné: Z paneláku na střechu kotelny spadl člověk, hasiči vyslali záchrannou vanu"
